subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-051	ses-01	T1w	/home/alexrees/scratch/bids/sub-051/ses-01/anat/sub-051_ses-01_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-01_T1w.nii.gz	PASS	271.771	always (high-res anatomical)
sub-051	ses-01	T1w	/home/alexrees/scratch/bids/sub-051/ses-01/anat/sub-051_ses-01_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-02_T1w.nii.gz	PASS	420.191	always (high-res anatomical)
sub-051	ses-01	T1w	/home/alexrees/scratch/bids/sub-051/ses-01/anat/sub-051_ses-01_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-03_T1w.nii.gz	PASS	237.409	always (high-res anatomical)
sub-051	ses-01	FLAIR	/home/alexrees/scratch/bids/sub-051/ses-01/anat/sub-051_ses-01_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-01_FLAIR.nii.gz	PASS	253.337	always (high-res anatomical)
sub-051	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-051/ses-01/anat/sub-051_ses-01_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-01_TB1TFL.nii.gz	PASS	225.719	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-051	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-051/ses-01/anat/sub-051_ses-01_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-051/ses-01/anat/sub-051_ses-01_run-02_TB1TFL.nii.gz	PASS	571.409	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
