physio_uid	subject	session	status	n_files	outputs	error	phi_issues
1.3.12.2.1107.5.2.43.166092.2023101912101959759548539.0.0.0	sub-024	ses-01	OK	3	/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-control_run-03_recording-pulse_physio.json;/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-control_run-03_recording-respiratory_physio.json;/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-control_run-03_recording-trigger_physio.json		
1.3.12.2.1107.5.2.43.166092.2023101912123562697556028.0.0.0	sub-024	ses-01	OK	3	/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-control_run-05_recording-pulse_physio.json;/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-control_run-05_recording-respiratory_physio.json;/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-control_run-05_recording-trigger_physio.json		
1.3.12.2.1107.5.2.43.166092.2023101911150376273181168.0.0.0	sub-024	ses-01	OK	3	/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-pulse_physio.json;/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-respiratory_physio.json;/lustre07/scratch/alexrees/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-trigger_physio.json		
1.3.12.2.1107.5.2.43.166092.2024092011565638337150295.0.0.0	sub-047	ses-01	OK	3	/lustre07/scratch/alexrees/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-pulse_physio.json;/lustre07/scratch/alexrees/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-respiratory_physio.json;/lustre07/scratch/alexrees/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-trigger_physio.json		
