subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-028	ses-01	T1w	/home/alexrees/scratch/bids/sub-028/ses-01/anat/sub-028_ses-01_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-028/ses-01/anat/sub-028_ses-01_run-01_T1w.nii.gz	PASS	261.483	always (high-res anatomical)
sub-028	ses-01	T1w	/home/alexrees/scratch/bids/sub-028/ses-01/anat/sub-028_ses-01_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-028/ses-01/anat/sub-028_ses-01_run-02_T1w.nii.gz	PASS	262.892	always (high-res anatomical)
sub-028	ses-01	T1w	/home/alexrees/scratch/bids/sub-028/ses-01/anat/sub-028_ses-01_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-028/ses-01/anat/sub-028_ses-01_run-03_T1w.nii.gz	PASS	247.077	always (high-res anatomical)
sub-028	ses-01	FLAIR	/home/alexrees/scratch/bids/sub-028/ses-01/anat/sub-028_ses-01_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-028/ses-01/anat/sub-028_ses-01_run-01_FLAIR.nii.gz	PASS	240.611	always (high-res anatomical)
sub-028	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-028/ses-01/anat/sub-028_ses-01_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-028/ses-01/anat/sub-028_ses-01_run-01_TB1TFL.nii.gz	PASS	244.632	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-028	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-028/ses-01/anat/sub-028_ses-01_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-028/ses-01/anat/sub-028_ses-01_run-02_TB1TFL.nii.gz	PASS	347.813	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
