subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-038	ses-01	T1w	/home/alexrees/scratch/bids/sub-038/ses-01/anat/sub-038_ses-01_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-038/ses-01/anat/sub-038_ses-01_run-01_T1w.nii.gz	PASS	243.104	always (high-res anatomical)
sub-038	ses-01	T1w	/home/alexrees/scratch/bids/sub-038/ses-01/anat/sub-038_ses-01_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-038/ses-01/anat/sub-038_ses-01_run-02_T1w.nii.gz	PASS	241.525	always (high-res anatomical)
sub-038	ses-01	T1w	/home/alexrees/scratch/bids/sub-038/ses-01/anat/sub-038_ses-01_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-038/ses-01/anat/sub-038_ses-01_run-03_T1w.nii.gz	PASS	235.613	always (high-res anatomical)
sub-038	ses-01	FLAIR	/home/alexrees/scratch/bids/sub-038/ses-01/anat/sub-038_ses-01_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-038/ses-01/anat/sub-038_ses-01_run-01_FLAIR.nii.gz	PASS	248.764	always (high-res anatomical)
sub-038	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-038/ses-01/anat/sub-038_ses-01_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-038/ses-01/anat/sub-038_ses-01_run-01_TB1TFL.nii.gz	PASS	212.187	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-038	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-038/ses-01/anat/sub-038_ses-01_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-038/ses-01/anat/sub-038_ses-01_run-02_TB1TFL.nii.gz	PASS	305.241	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
