subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-041	ses-02	T1w	/home/alexrees/scratch/bids/sub-041/ses-02/anat/sub-041_ses-02_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-041/ses-02/anat/sub-041_ses-02_run-01_T1w.nii.gz	PASS	254.286	always (high-res anatomical)
sub-041	ses-02	T1w	/home/alexrees/scratch/bids/sub-041/ses-02/anat/sub-041_ses-02_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-041/ses-02/anat/sub-041_ses-02_run-02_T1w.nii.gz	PASS	308.918	always (high-res anatomical)
sub-041	ses-02	T1w	/home/alexrees/scratch/bids/sub-041/ses-02/anat/sub-041_ses-02_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-041/ses-02/anat/sub-041_ses-02_run-03_T1w.nii.gz	PASS	265.663	always (high-res anatomical)
sub-041	ses-02	FLAIR	/home/alexrees/scratch/bids/sub-041/ses-02/anat/sub-041_ses-02_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-041/ses-02/anat/sub-041_ses-02_run-01_FLAIR.nii.gz	PASS	254.380	always (high-res anatomical)
sub-041	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-041/ses-02/anat/sub-041_ses-02_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-041/ses-02/anat/sub-041_ses-02_run-01_TB1TFL.nii.gz	PASS	450.902	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-041	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-041/ses-02/anat/sub-041_ses-02_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-041/ses-02/anat/sub-041_ses-02_run-02_TB1TFL.nii.gz	PASS	501.372	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
