subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-039	ses-02	T1w	/home/alexrees/scratch/bids/sub-039/ses-02/anat/sub-039_ses-02_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-039/ses-02/anat/sub-039_ses-02_run-01_T1w.nii.gz	PASS	241.149	always (high-res anatomical)
sub-039	ses-02	T1w	/home/alexrees/scratch/bids/sub-039/ses-02/anat/sub-039_ses-02_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-039/ses-02/anat/sub-039_ses-02_run-02_T1w.nii.gz	PASS	253.077	always (high-res anatomical)
sub-039	ses-02	T1w	/home/alexrees/scratch/bids/sub-039/ses-02/anat/sub-039_ses-02_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-039/ses-02/anat/sub-039_ses-02_run-03_T1w.nii.gz	PASS	223.361	always (high-res anatomical)
sub-039	ses-02	FLAIR	/home/alexrees/scratch/bids/sub-039/ses-02/anat/sub-039_ses-02_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-039/ses-02/anat/sub-039_ses-02_run-01_FLAIR.nii.gz	PASS	231.210	always (high-res anatomical)
sub-039	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-039/ses-02/anat/sub-039_ses-02_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-039/ses-02/anat/sub-039_ses-02_run-01_TB1TFL.nii.gz	PASS	290.292	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-039	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-039/ses-02/anat/sub-039_ses-02_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-039/ses-02/anat/sub-039_ses-02_run-02_TB1TFL.nii.gz	PASS	233.446	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
