subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-042	ses-01	T1w	/home/alexrees/scratch/bids/sub-042/ses-01/anat/sub-042_ses-01_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-042/ses-01/anat/sub-042_ses-01_run-01_T1w.nii.gz	PASS	234.322	always (high-res anatomical)
sub-042	ses-01	T1w	/home/alexrees/scratch/bids/sub-042/ses-01/anat/sub-042_ses-01_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-042/ses-01/anat/sub-042_ses-01_run-02_T1w.nii.gz	PASS	255.569	always (high-res anatomical)
sub-042	ses-01	T1w	/home/alexrees/scratch/bids/sub-042/ses-01/anat/sub-042_ses-01_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-042/ses-01/anat/sub-042_ses-01_run-03_T1w.nii.gz	PASS	237.020	always (high-res anatomical)
sub-042	ses-01	FLAIR	/home/alexrees/scratch/bids/sub-042/ses-01/anat/sub-042_ses-01_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-042/ses-01/anat/sub-042_ses-01_run-01_FLAIR.nii.gz	PASS	241.216	always (high-res anatomical)
sub-042	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-042/ses-01/anat/sub-042_ses-01_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-042/ses-01/anat/sub-042_ses-01_run-01_TB1TFL.nii.gz	PASS	411.533	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-042	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-042/ses-01/anat/sub-042_ses-01_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-042/ses-01/anat/sub-042_ses-01_run-02_TB1TFL.nii.gz	PASS	554.853	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
