subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-040	ses-02	T1w	/home/alexrees/scratch/bids/sub-040/ses-02/anat/sub-040_ses-02_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-040/ses-02/anat/sub-040_ses-02_run-01_T1w.nii.gz	PASS	254.312	always (high-res anatomical)
sub-040	ses-02	T1w	/home/alexrees/scratch/bids/sub-040/ses-02/anat/sub-040_ses-02_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-040/ses-02/anat/sub-040_ses-02_run-02_T1w.nii.gz	PASS	258.525	always (high-res anatomical)
sub-040	ses-02	T1w	/home/alexrees/scratch/bids/sub-040/ses-02/anat/sub-040_ses-02_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-040/ses-02/anat/sub-040_ses-02_run-03_T1w.nii.gz	PASS	246.286	always (high-res anatomical)
sub-040	ses-02	FLAIR	/home/alexrees/scratch/bids/sub-040/ses-02/anat/sub-040_ses-02_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-040/ses-02/anat/sub-040_ses-02_run-01_FLAIR.nii.gz	PASS	249.927	always (high-res anatomical)
sub-040	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-040/ses-02/anat/sub-040_ses-02_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-040/ses-02/anat/sub-040_ses-02_run-01_TB1TFL.nii.gz	PASS	206.107	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-040	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-040/ses-02/anat/sub-040_ses-02_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-040/ses-02/anat/sub-040_ses-02_run-02_TB1TFL.nii.gz	PASS	351.345	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
