subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-001	ses-02	T1w	/home/alexrees/scratch/bids/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	PASS	261.210	always (high-res anatomical)
sub-001	ses-02	T1w	/home/alexrees/scratch/bids/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	PASS	465.188	always (high-res anatomical)
sub-001	ses-02	T1w	/home/alexrees/scratch/bids/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	PASS	232.070	always (high-res anatomical)
sub-001	ses-02	FLAIR	/home/alexrees/scratch/bids/sub-001/ses-02/anat/sub-001_ses-02_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-01_FLAIR.nii.gz	PASS	245.112	always (high-res anatomical)
sub-001	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-001/ses-02/anat/sub-001_ses-02_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-01_TB1TFL.nii.gz	PASS	223.961	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-001	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-001/ses-02/anat/sub-001_ses-02_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-02_TB1TFL.nii.gz	PASS	348.170	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
