subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-081	ses-01	T1w	/home/alexrees/scratch/bids/sub-081/ses-01/anat/sub-081_ses-01_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-081/ses-01/anat/sub-081_ses-01_run-01_T1w.nii.gz	PASS	243.219	always (high-res anatomical)
sub-081	ses-01	T1w	/home/alexrees/scratch/bids/sub-081/ses-01/anat/sub-081_ses-01_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-081/ses-01/anat/sub-081_ses-01_run-02_T1w.nii.gz	PASS	245.873	always (high-res anatomical)
sub-081	ses-01	T1w	/home/alexrees/scratch/bids/sub-081/ses-01/anat/sub-081_ses-01_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-081/ses-01/anat/sub-081_ses-01_run-03_T1w.nii.gz	PASS	229.339	always (high-res anatomical)
sub-081	ses-01	FLAIR	/home/alexrees/scratch/bids/sub-081/ses-01/anat/sub-081_ses-01_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-081/ses-01/anat/sub-081_ses-01_run-01_FLAIR.nii.gz	PASS	240.898	always (high-res anatomical)
sub-081	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-081/ses-01/anat/sub-081_ses-01_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-081/ses-01/anat/sub-081_ses-01_run-01_TB1TFL.nii.gz	PASS	240.751	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-081	ses-01	TB1TFL	/home/alexrees/scratch/bids/sub-081/ses-01/anat/sub-081_ses-01_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-081/ses-01/anat/sub-081_ses-01_run-02_TB1TFL.nii.gz	PASS	557.265	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
